train_loss,train_acc,epoch,step,dev_loss,dev_acchaha
0.536034882068634,0.875,0,49,,
0.38372910022735596,0.90625,0,99,,
0.5511998534202576,0.78125,0,149,,
0.5919221639633179,0.84375,0,199,,
0.12431318312883377,0.96875,0,249,,
0.5264289975166321,0.84375,0,299,,
0.20964494347572327,0.9375,0,349,,
0.22340543568134308,0.9375,0,399,,
0.26471370458602905,0.96875,0,449,,
0.24204377830028534,0.96875,0,499,,
0.24275045096874237,0.875,0,549,,
0.33425503969192505,0.875,0,599,,
0.7616285085678101,0.84375,0,649,,
0.1944800615310669,0.96875,0,699,,
0.21448782086372375,0.96875,0,749,,
0.4475593566894531,0.84375,0,799,,
0.12045849859714508,0.96875,0,849,,
0.3458547294139862,0.90625,0,899,,
0.4130786955356598,0.9375,0,949,,
0.22581727802753448,0.9375,0,999,,
0.34801602363586426,0.90625,0,1049,,
0.9131001234054565,0.8125,0,1099,,
0.17232775688171387,0.9375,0,1149,,
0.14731474220752716,0.96875,0,1199,,
0.23436659574508667,0.90625,0,1249,,
0.22531315684318542,0.90625,0,1299,,
0.1927647888660431,0.96875,0,1349,,
0.4427338242530823,0.90625,0,1399,,
0.211952805519104,0.9375,0,1449,,
0.13180771470069885,0.9375,0,1499,,
,,0,1499,0.3139854669570923,0.9170833230018616
